id,transcript_text,bill_name,bill_stance,bill_reason,issue_name,issue_stance,issue_reason,district,state,zip_code,latitude,longitude,call_timestamp
30,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I oppose this bill because it would help families in our district. Thank you, have a good day.",ROTOR Act,,,,,,CA-09,CA,95336,38.012386,-121.191191,2026-03-06T11:03:40.416219
31,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE America Act (H.R.7296). I oppose it. I also want to mention concerns about the war with Iran. Thank you.,SAVE America Act,,,Iran,,,CA-09,CA,95219,37.845024,-121.217083,2026-03-03T04:57:40.416222
32,Hi I'm a constituent of Congressman Josh Harder. I hope Congress addresses healthcare affordability. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95207,38.029193,-121.36334,2026-03-02T12:08:40.416224
33,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95210,37.951567,-121.156864,2026-03-03T20:29:40.416227
34,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95219,37.82512,-121.203636,2026-03-07T00:38:40.416230
35,Hi I'm a constituent of Congressman Josh Harder. I'm worried about housing affordability in the Central Valley. I hope the Congressman takes this issue seriously. Thank you.,,,,housing,,,CA-09,CA,95336,38.135608,-121.411468,2026-03-03T19:18:40.416232
36,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Reconciliation Act (H.R.1). I support this bill because I believe it's important for the country. Thank you, have a good day.",,,,,,,CA-09,CA,95207,37.990378,-121.495909,2026-03-03T04:08:40.416235
37,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support this bill because I don't think taxpayer money should go toward it. Thank you, have a good day.",ROTOR Act,,,,,,CA-09,CA,95376,38.159894,-121.459155,2026-03-06T09:48:40.416238
38,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Stop the Sexualization of Children Act (H.R.7661). I oppose this bill because I think it goes too far. Thank you, have a good day.",Stop the Sexualization of Children Act,,,,,,CA-09,CA,95210,38.064645,-121.389523,2026-03-07T09:26:40.416241
39,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about immigration enforcement and ICE policy. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95376,38.184117,-121.298475,2026-03-03T18:59:40.416244
40,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95210,38.086455,-121.353444,2026-03-06T09:56:40.416247
41,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose this bill because I don't think taxpayer money should go toward it. Thank you, have a good day.",Epstein Files Transparency Act,,,,,,CA-09,CA,95207,37.996945,-121.215408,2026-03-06T12:31:40.416250
42,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose it. I also want to mention concerns about healthcare affordability. Thank you.,Epstein Files Transparency Act,,,,,,CA-09,CA,95219,37.940585,-121.219939,2026-03-05T00:01:40.416253
43,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about energy prices. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95330,38.132615,-121.469374,2026-03-02T17:13:40.416258
44,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95336,37.854137,-121.177615,2026-03-05T06:12:40.416260
45,Hi I'm a constituent of Congressman Josh Harder. I strongly support action on the war with Iran. I hope the Congressman takes this issue seriously. Thank you.,,,,Iran,,,CA-09,CA,95376,37.998508,-121.277035,2026-03-02T07:48:40.416263
46,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Impeachment Resolution (H.Res.353). I support this bill because it would help families in our district. Thank you, have a good day.",,,,,,,CA-09,CA,95330,37.945632,-121.392709,2026-03-05T16:42:40.416266
47,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE America Act (H.R.7296). I support this bill because I have concerns about the policy. Thank you, have a good day.",SAVE America Act,,,,,,CA-09,CA,95330,38.098195,-121.441352,2026-03-05T20:50:40.416269
48,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I oppose this bill because I don't think taxpayer money should go toward it. Thank you, have a good day.",ROTOR Act,,,,,,CA-09,CA,95336,37.972439,-121.145761,2026-03-01T11:58:40.416272
49,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95219,38.036524,-121.106363,2026-03-01T10:20:40.416275
50,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about immigration enforcement and ICE policy. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95330,37.994168,-121.370665,2026-03-06T22:15:40.416277
51,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about water shortages affecting agriculture. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95207,38.162514,-121.435787,2026-03-07T03:28:40.416280
52,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Respect for Marriage Act (H.R.8404). I support it. I also want to mention concerns about water shortages affecting agriculture. Thank you.,Respect for Marriage Act,,,,,,CA-09,CA,95219,38.126258,-121.16845,2026-03-06T14:50:40.416283
53,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about healthcare affordability. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95336,38.150243,-121.407074,2026-03-04T03:01:40.416286
54,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about immigration enforcement and ICE policy. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95376,38.043298,-121.306438,2026-03-04T15:53:40.416289
55,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95336,37.900607,-121.423137,2026-03-06T04:59:40.416291
56,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95210,38.006839,-121.23701,2026-03-03T06:17:40.416293
57,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95219,38.006527,-121.16752,2026-02-28T23:07:40.416296
58,Hi I'm a constituent of Congressman Josh Harder. I'm worried about rising cost of living. I hope the Congressman takes this issue seriously. Thank you.,,,,cost of living,,,CA-09,CA,95219,37.943244,-121.171222,2026-03-01T14:28:40.416299
59,Hi I'm a constituent of Congressman Josh Harder. I'm worried about immigration enforcement and ICE policy. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95330,37.840664,-121.213663,2026-03-06T15:39:40.416302
60,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Stop the Sexualization of Children Act (H.R.7661). I oppose this bill because I don't think taxpayer money should go toward it. Thank you, have a good day.",Stop the Sexualization of Children Act,,,,,,CA-09,CA,95376,38.12816,-121.437945,2026-03-02T05:14:40.416304
61,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95336,38.018281,-121.465933,2026-03-01T20:39:40.416307
62,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE Act (H.R.22). I support it. I also want to mention concerns about immigration enforcement and ICE policy. Thank you.,SAVE Act,,,ICE,,,CA-09,CA,95330,37.866304,-121.229748,2026-03-05T14:39:40.416310
63,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support it. I also want to mention concerns about immigration enforcement and ICE policy. Thank you.,ROTOR Act,,,ICE,,,CA-09,CA,95336,38.08881,-121.366475,2026-02-28T21:17:40.416313
64,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Impeachment Resolution (H.Res.353). I support it. I also want to mention concerns about rising cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95376,38.148457,-121.21088,2026-03-03T07:04:40.416316
65,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support it. I also want to mention concerns about rising cost of living. Thank you.,ROTOR Act,,,cost of living,,,CA-09,CA,95330,37.839187,-121.183128,2026-02-28T13:46:40.416319
66,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support it. I also want to mention concerns about the war with Iran. Thank you.,ROTOR Act,,,Iran,,,CA-09,CA,95330,38.032259,-121.489898,2026-03-04T03:54:40.416322
67,Hi I'm a constituent of Congressman Josh Harder. I'm really concerned about the war with Iran. I hope the Congressman takes this issue seriously. Thank you.,,,,Iran,,,CA-09,CA,95376,38.139511,-121.360643,2026-03-04T17:06:40.416325
68,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95336,38.031405,-121.485334,2026-03-04T10:45:40.416328
69,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I support this bill because I believe it's important for the country. Thank you, have a good day.",Epstein Files Transparency Act,,,,,,CA-09,CA,95376,38.176102,-121.178559,2026-02-28T21:46:40.416331
70,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95210,38.17285,-121.47015,2026-03-01T21:09:40.416335
71,Hi I'm a constituent of Congressman Josh Harder. I'm worried about healthcare affordability. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95336,37.846531,-121.276659,2026-03-03T14:29:40.416338
72,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Stop the Sexualization of Children Act (H.R.7661). I support this bill because I don't think taxpayer money should go toward it. Thank you, have a good day.",Stop the Sexualization of Children Act,,,,,,CA-09,CA,95210,38.149903,-121.239847,2026-03-03T04:23:40.416341
73,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95219,38.047075,-121.230183,2026-03-05T01:50:40.416343
74,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Consolidated Appropriations Act 2026 (H.R.7148). I oppose this bill because it would help working people. Thank you, have a good day.",Consolidated Appropriations Act,,,,,,CA-09,CA,95330,37.803294,-121.389986,2026-03-02T21:21:40.416346
75,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Stop the Sexualization of Children Act (H.R.7661). I oppose it. I also want to mention concerns about rising cost of living. Thank you.,Stop the Sexualization of Children Act,,,cost of living,,,CA-09,CA,95210,37.914215,-121.33254,2026-03-04T12:55:40.416349
76,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95336,37.939112,-121.368072,2026-02-28T20:22:40.416353
77,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose it. I also want to mention concerns about immigration enforcement and ICE policy. Thank you.,Epstein Files Transparency Act,,,ICE,,,CA-09,CA,95376,38.068651,-121.227336,2026-03-05T17:31:40.416356
78,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Treat and Reduce Obesity Act (H.R.4818). I oppose it. I also want to mention concerns about rising cost of living. Thank you.,Treat and Reduce Obesity Act,,,cost of living,,,CA-09,CA,95207,38.126575,-121.371954,2026-03-03T03:22:40.416360
79,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95207,38.108378,-121.244672,2026-02-28T18:27:40.416363
80,Hi I'm a constituent of Congressman Josh Harder. I'm worried about the humanitarian situation in Gaza. I hope the Congressman takes this issue seriously. Thank you.,,,,Gaza,,,CA-09,CA,95207,38.103881,-121.15877,2026-03-07T11:07:40.416366
81,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95376,38.126856,-121.477294,2026-03-01T13:51:40.416369
82,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Impeachment Resolution (H.Res.353). I oppose it. I also want to mention concerns about healthcare affordability. Thank you.,,,,,,,CA-09,CA,95330,38.049692,-121.222879,2026-03-07T02:50:40.416372
83,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose it. I also want to mention concerns about rising cost of living. Thank you.,Epstein Files Transparency Act,,,cost of living,,,CA-09,CA,95336,37.90808,-121.177635,2026-03-01T17:27:40.416375
84,Hi I'm a constituent of Congressman Josh Harder. I hope Congress addresses immigration enforcement and ICE policy. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95376,37.997541,-121.423116,2026-03-03T07:01:40.416378
85,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95219,38.013418,-121.447289,2026-03-03T10:20:40.416380
86,Hi I'm a constituent of Congressman Josh Harder. I hope Congress addresses the humanitarian situation in Gaza. I hope the Congressman takes this issue seriously. Thank you.,,,,Gaza,,,CA-09,CA,95219,38.099212,-121.483473,2026-03-04T09:00:40.416384
87,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95210,37.852469,-121.456635,2026-03-03T20:52:40.416387
88,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95207,37.837318,-121.114756,2026-03-01T00:04:40.416390
89,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Consolidated Appropriations Act 2026 (H.R.7148). I oppose it. I also want to mention concerns about water shortages affecting agriculture. Thank you.,Consolidated Appropriations Act,,,,,,CA-09,CA,95336,38.07092,-121.347211,2026-03-05T05:23:40.416393
90,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose this bill because it would help working people. Thank you, have a good day.",Epstein Files Transparency Act,,,,,,CA-09,CA,95210,38.027803,-121.35241,2026-03-02T20:34:40.416395
91,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Consolidated Appropriations Act 2026 (H.R.7148). I oppose this bill because it would help working people. Thank you, have a good day.",Consolidated Appropriations Act,,,,,,CA-09,CA,95330,38.02711,-121.212869,2026-03-02T07:30:40.416398
92,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I oppose it. I also want to mention concerns about the humanitarian situation in Gaza. Thank you.,ROTOR Act,,,Gaza,,,CA-09,CA,95330,38.065501,-121.173518,2026-03-02T00:36:40.416401
93,Hi I'm a constituent of Congressman Josh Harder. I strongly support action on the humanitarian situation in Gaza. I hope the Congressman takes this issue seriously. Thank you.,,,,Gaza,,,CA-09,CA,95219,38.180309,-121.102075,2026-03-06T09:02:40.416404
94,Hi I'm a constituent of Congressman Josh Harder. I'm worried about energy prices. I hope the Congressman takes this issue seriously. Thank you.,,,,ICE,,,CA-09,CA,95210,37.99063,-121.134716,2026-03-01T20:06:40.416407
95,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95376,37.858811,-121.154166,2026-03-05T12:52:40.416410
96,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE America Act (H.R.7296). I support this bill because I think it goes too far. Thank you, have a good day.",SAVE America Act,,,,,,CA-09,CA,95336,37.805776,-121.363863,2026-03-04T03:17:40.416413
97,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Epstein Files Transparency Act (H.R.4405). I oppose it. I also want to mention concerns about housing affordability in the Central Valley. Thank you.,Epstein Files Transparency Act,,,housing,,,CA-09,CA,95219,37.925166,-121.13697,2026-03-03T01:46:40.416416
98,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE Act (H.R.22). I support it. I also want to mention concerns about energy prices. Thank you.,SAVE Act,,,ICE,,,CA-09,CA,95219,38.134082,-121.277504,2026-03-03T11:24:40.416419
99,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95336,38.166418,-121.358157,2026-03-06T04:25:40.416421
100,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support this bill because it would help working people. Thank you, have a good day.",ROTOR Act,,,,,,CA-09,CA,95330,37.803409,-121.422757,2026-03-07T11:46:40.416424
101,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Respect for Marriage Act (H.R.8404). I oppose it. I also want to mention concerns about energy prices. Thank you.,Respect for Marriage Act,,,ICE,,,CA-09,CA,95330,37.92522,-121.142514,2026-03-06T14:59:40.416427
102,Hi I'm a constituent of Congressman Josh Harder. I just wanted to share concerns about economic conditions in our community. Thank you.,,,,,,,CA-09,CA,95210,37.899013,-121.323646,2026-03-03T00:16:40.416430
103,Hi I'm a constituent of Congressman Josh Harder. I'm worried about healthcare affordability. I hope the Congressman takes this issue seriously. Thank you.,,,,,,,CA-09,CA,95336,38.115771,-121.404743,2026-03-03T02:54:40.416433
104,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95219,38.003113,-121.403072,2026-03-02T00:52:40.416435
105,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Stop the Sexualization of Children Act (H.R.7661). I support this bill because it would help families in our district. Thank you, have a good day.",Stop the Sexualization of Children Act,,,,,,CA-09,CA,95336,37.946846,-121.450281,2026-03-02T00:44:40.416438
106,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I support it. I also want to mention concerns about healthcare affordability. Thank you.,ROTOR Act,,,,,,CA-09,CA,95376,37.893211,-121.476151,2026-03-01T11:13:40.416441
107,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE Act (H.R.22). I oppose it. I also want to mention concerns about water shortages affecting agriculture. Thank you.,SAVE Act,,,,,,CA-09,CA,95207,37.801643,-121.403308,2026-02-28T20:30:40.416444
108,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95210,38.100438,-121.35094,2026-02-28T19:42:40.416447
109,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the SAVE Act (H.R.22). I support this bill because it would help working people. Thank you, have a good day.",SAVE Act,,,,,,CA-09,CA,95207,38.008459,-121.211846,2026-03-01T23:40:40.416449
110,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95376,37.886077,-121.159997,2026-03-05T11:51:40.416452
111,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Reconciliation Act (H.R.1). I support it. I also want to mention concerns about immigration enforcement and ICE policy. Thank you.,,,,ICE,,,CA-09,CA,95207,38.193228,-121.367992,2026-03-02T12:18:40.416455
112,"Hi I'm a constituent of Congressman Josh Harder. I'm calling about the Respect for Marriage Act (H.R.8404). I support this bill because I have concerns about the policy. Thank you, have a good day.",Respect for Marriage Act,,,,,,CA-09,CA,95336,37.87472,-121.221127,2026-03-05T17:03:40.416458
113,Hi I'm a constituent of Congressman Josh Harder. I wanted to express concerns about national policy decisions affecting our district. Thank you.,,,,,,,CA-09,CA,95336,37.876148,-121.213724,2026-03-06T19:25:40.416460
114,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I oppose it. I also want to mention concerns about the humanitarian situation in Gaza. Thank you.,ROTOR Act,,,Gaza,,,CA-09,CA,95376,37.959819,-121.288184,2026-03-01T00:42:40.416463
115,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95219,37.940048,-121.285636,2026-03-02T23:41:40.416466
116,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95210,37.850584,-121.36147,2026-03-04T00:33:40.416468
117,Hi I'm a constituent of Congressman Josh Harder. I hope Congress focuses on helping working families. Thank you.,,,,,,,CA-09,CA,95336,38.019269,-121.162586,2026-03-07T02:24:40.416471
118,Hi I'm a constituent of Congressman Josh Harder. I'm worried about the war with Iran. I hope the Congressman takes this issue seriously. Thank you.,,,,Iran,,,CA-09,CA,95219,38.033293,-121.133442,2026-03-07T05:46:40.416473
119,Hi I'm a constituent of Congressman Josh Harder. I'm calling about the ROTOR Act (S.2503). I oppose it. I also want to mention concerns about rising cost of living. Thank you.,ROTOR Act,,,cost of living,,,CA-09,CA,95210,38.110161,-121.197179,2026-03-02T00:18:40.416476
120,Hi I'm a constituent of Congressman Josh Harder. I'm calling because families in our district are struggling with the cost of living. Thank you.,,,,cost of living,,,CA-09,CA,95376,38.140838,-121.255555,2026-03-04T19:44:40.416479
